Logging to training_default_logs/4_robots/logs/PPO_set5
Using cpu device
Training started on Tue Jan 27 23:33:29 2026
Experiment configuration: {'algorithm': 'PPO', 'set': 5, 'verbose': 1, 'steps': 1000000, 'num_robots': 4, 'num_envs': 4, 'seed': 33, 'log_steps': 10000, 'resume': False, 'device': 'cpu'}
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 79.8          |
|    ep_rew_mean          | -1.14e+06     |
| time/                   |               |
|    fps                  | 260           |
|    time_elapsed         | 38            |
|    total_timesteps      | 10000         |
| train/                  |               |
|    approx_kl            | 0.00012072427 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | -2.5e-06      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.1e+10       |
|    n_updates            | 10            |
|    policy_gradient_loss | -0.000482     |
|    std                  | 1             |
|    value_loss           | 4.2e+10       |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 78.1         |
|    ep_rew_mean          | -1.12e+06    |
| time/                   |              |
|    fps                  | 52           |
|    time_elapsed         | 383          |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0001218545 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.2e+10      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.000516    |
|    std                  | 1            |
|    value_loss           | 4.39e+10     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 85.7          |
|    ep_rew_mean          | -1.22e+06     |
| time/                   |               |
|    fps                  | 76            |
|    time_elapsed         | 392           |
|    total_timesteps      | 30000         |
| train/                  |               |
|    approx_kl            | 0.00016617725 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.01e+10      |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.000635     |
|    std                  | 1             |
|    value_loss           | 4.13e+10      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 71.4         |
|    ep_rew_mean          | -1.04e+06    |
| time/                   |              |
|    fps                  | 92           |
|    time_elapsed         | 430          |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 9.674713e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.18e+10     |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.000421    |
|    std                  | 1            |
|    value_loss           | 4.36e+10     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 73.5          |
|    ep_rew_mean          | -1.06e+06     |
| time/                   |               |
|    fps                  | 109           |
|    time_elapsed         | 457           |
|    total_timesteps      | 50000         |
| train/                  |               |
|    approx_kl            | 0.00025857444 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.06e+10      |
|    n_updates            | 60            |
|    policy_gradient_loss | -0.000979     |
|    std                  | 1             |
|    value_loss           | 4.12e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 84            |
|    ep_rew_mean          | -1.2e+06      |
| time/                   |               |
|    fps                  | 128           |
|    time_elapsed         | 466           |
|    total_timesteps      | 60000         |
| train/                  |               |
|    approx_kl            | 7.9766745e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.99e+10      |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.000414     |
|    std                  | 1             |
|    value_loss           | 4.28e+10      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 88           |
|    ep_rew_mean          | -1.24e+06    |
| time/                   |              |
|    fps                  | 147          |
|    time_elapsed         | 475          |
|    total_timesteps      | 70000        |
| train/                  |              |
|    approx_kl            | 4.138024e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 2.2e+10      |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.000286    |
|    std                  | 1            |
|    value_loss           | 4.39e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 85.9         |
|    ep_rew_mean          | -1.22e+06    |
| time/                   |              |
|    fps                  | 165          |
|    time_elapsed         | 483          |
|    total_timesteps      | 80000        |
| train/                  |              |
|    approx_kl            | 7.103689e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.15e+10     |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00031     |
|    std                  | 1            |
|    value_loss           | 4.22e+10     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 66.7          |
|    ep_rew_mean          | -9.54e+05     |
| time/                   |               |
|    fps                  | 182           |
|    time_elapsed         | 492           |
|    total_timesteps      | 90000         |
| train/                  |               |
|    approx_kl            | 0.00012943764 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2e+10         |
|    n_updates            | 100           |
|    policy_gradient_loss | -0.000547     |
|    std                  | 1             |
|    value_loss           | 4.31e+10      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 82.8         |
|    ep_rew_mean          | -1.18e+06    |
| time/                   |              |
|    fps                  | 198          |
|    time_elapsed         | 505          |
|    total_timesteps      | 100000       |
| train/                  |              |
|    approx_kl            | 3.560115e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.99e+10     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.000209    |
|    std                  | 1            |
|    value_loss           | 4.22e+10     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 80.5          |
|    ep_rew_mean          | -1.13e+06     |
| time/                   |               |
|    fps                  | 214           |
|    time_elapsed         | 513           |
|    total_timesteps      | 110000        |
| train/                  |               |
|    approx_kl            | 5.0965144e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.01e+10      |
|    n_updates            | 130           |
|    policy_gradient_loss | -0.000242     |
|    std                  | 1             |
|    value_loss           | 4.11e+10      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 79.3         |
|    ep_rew_mean          | -1.13e+06    |
| time/                   |              |
|    fps                  | 229          |
|    time_elapsed         | 522          |
|    total_timesteps      | 120000       |
| train/                  |              |
|    approx_kl            | 5.847506e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.15e+10     |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.000297    |
|    std                  | 1            |
|    value_loss           | 4.08e+10     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 75            |
|    ep_rew_mean          | -1.08e+06     |
| time/                   |               |
|    fps                  | 244           |
|    time_elapsed         | 530           |
|    total_timesteps      | 130000        |
| train/                  |               |
|    approx_kl            | 0.00015357615 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.04e+10      |
|    n_updates            | 150           |
|    policy_gradient_loss | -0.000563     |
|    std                  | 1             |
|    value_loss           | 4.1e+10       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 79.2          |
|    ep_rew_mean          | -1.13e+06     |
| time/                   |               |
|    fps                  | 257           |
|    time_elapsed         | 543           |
|    total_timesteps      | 140000        |
| train/                  |               |
|    approx_kl            | 0.00016535248 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.15e+10      |
|    n_updates            | 170           |
|    policy_gradient_loss | -0.000657     |
|    std                  | 1             |
|    value_loss           | 4.19e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 75            |
|    ep_rew_mean          | -1.07e+06     |
| time/                   |               |
|    fps                  | 271           |
|    time_elapsed         | 551           |
|    total_timesteps      | 150000        |
| train/                  |               |
|    approx_kl            | 0.00020221304 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.01e+10      |
|    n_updates            | 180           |
|    policy_gradient_loss | -0.000776     |
|    std                  | 1             |
|    value_loss           | 4.11e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 80.2          |
|    ep_rew_mean          | -1.16e+06     |
| time/                   |               |
|    fps                  | 285           |
|    time_elapsed         | 560           |
|    total_timesteps      | 160000        |
| train/                  |               |
|    approx_kl            | 5.7242483e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.14e+10      |
|    n_updates            | 190           |
|    policy_gradient_loss | -0.0003       |
|    std                  | 1             |
|    value_loss           | 4.16e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 71.7          |
|    ep_rew_mean          | -1.03e+06     |
| time/                   |               |
|    fps                  | 298           |
|    time_elapsed         | 569           |
|    total_timesteps      | 170000        |
| train/                  |               |
|    approx_kl            | 5.8229292e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.23e+10      |
|    n_updates            | 200           |
|    policy_gradient_loss | -0.000306     |
|    std                  | 1             |
|    value_loss           | 4.3e+10       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 77.7          |
|    ep_rew_mean          | -1.1e+06      |
| time/                   |               |
|    fps                  | 311           |
|    time_elapsed         | 577           |
|    total_timesteps      | 180000        |
| train/                  |               |
|    approx_kl            | 0.00010149269 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 2.19e+10      |
|    n_updates            | 210           |
|    policy_gradient_loss | -0.000427     |
|    std                  | 1             |
|    value_loss           | 4.25e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 72.2          |
|    ep_rew_mean          | -1.02e+06     |
| time/                   |               |
|    fps                  | 321           |
|    time_elapsed         | 590           |
|    total_timesteps      | 190000        |
| train/                  |               |
|    approx_kl            | 4.1448264e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.96e+10      |
|    n_updates            | 230           |
|    policy_gradient_loss | -0.000243     |
|    std                  | 1             |
|    value_loss           | 4.05e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 82.2          |
|    ep_rew_mean          | -1.17e+06     |
| time/                   |               |
|    fps                  | 334           |
|    time_elapsed         | 598           |
|    total_timesteps      | 200000        |
| train/                  |               |
|    approx_kl            | 0.00014716125 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.12e+10      |
|    n_updates            | 240           |
|    policy_gradient_loss | -0.000581     |
|    std                  | 1             |
|    value_loss           | 4.2e+10       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 82            |
|    ep_rew_mean          | -1.17e+06     |
| time/                   |               |
|    fps                  | 345           |
|    time_elapsed         | 607           |
|    total_timesteps      | 210000        |
| train/                  |               |
|    approx_kl            | 5.1715273e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 2.06e+10      |
|    n_updates            | 250           |
|    policy_gradient_loss | -0.000303     |
|    std                  | 1             |
|    value_loss           | 4.17e+10      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 79.9         |
|    ep_rew_mean          | -1.15e+06    |
| time/                   |              |
|    fps                  | 357          |
|    time_elapsed         | 616          |
|    total_timesteps      | 220000       |
| train/                  |              |
|    approx_kl            | 5.745318e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.94e+10     |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.000295    |
|    std                  | 1            |
|    value_loss           | 4.17e+10     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 80.1          |
|    ep_rew_mean          | -1.14e+06     |
