Logging to training_default_logs/2_robots/logs/PPO_set7
Using cpu device
Training started on Tue Jan 27 16:12:38 2026
Experiment configuration: {'algorithm': 'PPO', 'set': 7, 'verbose': 1, 'steps': 1000000, 'num_robots': 2, 'num_envs': 4, 'seed': 33, 'log_steps': 10000, 'resume': False, 'device': 'cpu'}
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 76           |
|    ep_rew_mean          | -3.15e+05    |
| time/                   |              |
|    fps                  | 1064         |
|    time_elapsed         | 9            |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0019228443 |
|    clip_fraction        | 0.000183     |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.51        |
|    explained_variance   | -8.34e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.86e+09     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00201     |
|    std                  | 1            |
|    value_loss           | 4.25e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 71.3          |
|    ep_rew_mean          | -2.86e+05     |
| time/                   |               |
|    fps                  | 1080          |
|    time_elapsed         | 18            |
|    total_timesteps      | 20000         |
| train/                  |               |
|    approx_kl            | 0.00042131572 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.52         |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 2.08e+09      |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.000602     |
|    std                  | 1             |
|    value_loss           | 4.19e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 81.8          |
|    ep_rew_mean          | -3.16e+05     |
| time/                   |               |
|    fps                  | 1086          |
|    time_elapsed         | 27            |
|    total_timesteps      | 30000         |
| train/                  |               |
|    approx_kl            | 0.00087107957 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.52         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.96e+09      |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.000889     |
|    std                  | 1             |
|    value_loss           | 3.95e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 80.4          |
|    ep_rew_mean          | -3e+05        |
| time/                   |               |
|    fps                  | 1089          |
|    time_elapsed         | 36            |
|    total_timesteps      | 40000         |
| train/                  |               |
|    approx_kl            | 0.00039246347 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.52         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.05e+09      |
|    n_updates            | 40            |
|    policy_gradient_loss | -0.000473     |
|    std                  | 1             |
|    value_loss           | 3.96e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 93.3         |
|    ep_rew_mean          | -3.53e+05    |
| time/                   |              |
|    fps                  | 988          |
|    time_elapsed         | 50           |
|    total_timesteps      | 50000        |
| train/                  |              |
|    approx_kl            | 0.0008779565 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.52        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.9e+09      |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.000988    |
|    std                  | 1            |
|    value_loss           | 3.96e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 76.7          |
|    ep_rew_mean          | -3e+05        |
| time/                   |               |
|    fps                  | 1004          |
|    time_elapsed         | 59            |
|    total_timesteps      | 60000         |
| train/                  |               |
|    approx_kl            | 0.00038314943 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.51         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.67e+09      |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.000403     |
|    std                  | 1             |
|    value_loss           | 4.03e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 85.6          |
|    ep_rew_mean          | -3.28e+05     |
| time/                   |               |
|    fps                  | 1017          |
|    time_elapsed         | 68            |
|    total_timesteps      | 70000         |
| train/                  |               |
|    approx_kl            | 0.00041403715 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.51         |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 2.05e+09      |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.000588     |
|    std                  | 1             |
|    value_loss           | 4.21e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 81.2         |
|    ep_rew_mean          | -3.1e+05     |
| time/                   |              |
|    fps                  | 1026         |
|    time_elapsed         | 77           |
|    total_timesteps      | 80000        |
| train/                  |              |
|    approx_kl            | 0.0004720724 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.52        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.35e+09     |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.000581    |
|    std                  | 1            |
|    value_loss           | 3.99e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 85            |
|    ep_rew_mean          | -3.1e+05      |
| time/                   |               |
|    fps                  | 1034          |
|    time_elapsed         | 87            |
|    total_timesteps      | 90000         |
| train/                  |               |
|    approx_kl            | 0.00047493837 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.51         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.78e+09      |
|    n_updates            | 100           |
|    policy_gradient_loss | -0.000544     |
|    std                  | 1             |
|    value_loss           | 3.86e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 70.8         |
|    ep_rew_mean          | -2.74e+05    |
| time/                   |              |
|    fps                  | 990          |
|    time_elapsed         | 100          |
|    total_timesteps      | 100000       |
| train/                  |              |
|    approx_kl            | 0.0007010719 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.51        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.6e+09      |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.000722    |
|    std                  | 1            |
|    value_loss           | 3.95e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.9        |
|    ep_rew_mean          | -2.55e+05   |
| time/                   |             |
|    fps                  | 999         |
|    time_elapsed         | 110         |
|    total_timesteps      | 110000      |
| train/                  |             |
|    approx_kl            | 0.001128921 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.51       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 1.65e+09    |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00111    |
|    std                  | 0.999       |
|    value_loss           | 3.78e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 85.2         |
|    ep_rew_mean          | -2.96e+05    |
| time/                   |              |
|    fps                  | 1007         |
|    time_elapsed         | 119          |
|    total_timesteps      | 120000       |
| train/                  |              |
|    approx_kl            | 0.0007984386 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.51        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.12e+09     |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.000793    |
|    std                  | 0.999        |
|    value_loss           | 3.78e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 80.7         |
|    ep_rew_mean          | -3.13e+05    |
| time/                   |              |
|    fps                  | 1013         |
|    time_elapsed         | 128          |
|    total_timesteps      | 130000       |
| train/                  |              |
|    approx_kl            | 0.0018588725 |
|    clip_fraction        | 0.000244     |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.51        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.85e+09     |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00166     |
|    std                  | 0.999        |
|    value_loss           | 3.73e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.6          |
|    ep_rew_mean          | -2.63e+05     |
| time/                   |               |
|    fps                  | 984           |
|    time_elapsed         | 142           |
|    total_timesteps      | 140000        |
| train/                  |               |
|    approx_kl            | 0.00047271495 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.5          |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.02e+09      |
|    n_updates            | 170           |
|    policy_gradient_loss | -0.000614     |
|    std                  | 0.998         |
|    value_loss           | 3.9e+09       |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 69.6         |
|    ep_rew_mean          | -2.63e+05    |
| time/                   |              |
|    fps                  | 990          |
|    time_elapsed         | 151          |
|    total_timesteps      | 150000       |
| train/                  |              |
|    approx_kl            | 0.0010213074 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.5         |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.79e+09     |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.000924    |
|    std                  | 0.998        |
|    value_loss           | 3.84e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.1         |
|    ep_rew_mean          | -2.06e+05    |
| time/                   |              |
|    fps                  | 996          |
|    time_elapsed         | 160          |
|    total_timesteps      | 160000       |
| train/                  |              |
|    approx_kl            | 0.0007734758 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.5         |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.88e+09     |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.000801    |
|    std                  | 0.998        |
|    value_loss           | 3.75e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 70.7          |
|    ep_rew_mean          | -2.56e+05     |
| time/                   |               |
|    fps                  | 1001          |
|    time_elapsed         | 169           |
|    total_timesteps      | 170000        |
| train/                  |               |
|    approx_kl            | 0.00047284085 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.5          |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.84e+09      |
|    n_updates            | 200           |
|    policy_gradient_loss | -0.000504     |
|    std                  | 0.998         |
|    value_loss           | 3.75e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 72           |
|    ep_rew_mean          | -2.7e+05     |
| time/                   |              |
|    fps                  | 1006         |
|    time_elapsed         | 178          |
|    total_timesteps      | 180000       |
| train/                  |              |
|    approx_kl            | 0.0009834992 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.5         |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.28e+09     |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.000875    |
|    std                  | 0.997        |
|    value_loss           | 3.74e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 78.7          |
|    ep_rew_mean          | -2.78e+05     |
| time/                   |               |
|    fps                  | 985           |
|    time_elapsed         | 192           |
|    total_timesteps      | 190000        |
| train/                  |               |
|    approx_kl            | 0.00032496185 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.49         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.75e+09      |
|    n_updates            | 230           |
|    policy_gradient_loss | -0.000387     |
|    std                  | 0.996         |
|    value_loss           | 3.44e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 63.4         |
|    ep_rew_mean          | -2.47e+05    |
| time/                   |              |
|    fps                  | 990          |
|    time_elapsed         | 201          |
|    total_timesteps      | 200000       |
| train/                  |              |
|    approx_kl            | 0.0005764182 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.49        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.83e+09     |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.000589    |
|    std                  | 0.996        |
|    value_loss           | 3.69e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 69.5         |
|    ep_rew_mean          | -2.82e+05    |
| time/                   |              |
|    fps                  | 994          |
|    time_elapsed         | 211          |
|    total_timesteps      | 210000       |
| train/                  |              |
|    approx_kl            | 0.0004885245 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.49        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 2.12e+09     |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.000508    |
|    std                  | 0.996        |
|    value_loss           | 3.84e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 72.7         |
|    ep_rew_mean          | -2.6e+05     |
| time/                   |              |
|    fps                  | 998          |
|    time_elapsed         | 220          |
|    total_timesteps      | 220000       |
| train/                  |              |
|    approx_kl            | 0.0007838773 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.49        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 2.16e+09     |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.000933    |
|    std                  | 0.996        |
|    value_loss           | 4.12e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 69.2          |
|    ep_rew_mean          | -2.54e+05     |
| time/                   |               |
|    fps                  | 981           |
|    time_elapsed         | 234           |
|    total_timesteps      | 230000        |
| train/                  |               |
|    approx_kl            | 0.00078421657 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.49         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.76e+09      |
|    n_updates            | 280           |
|    policy_gradient_loss | -0.000823     |
|    std                  | 0.995         |
|    value_loss           | 3.43e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 66.7          |
|    ep_rew_mean          | -2.45e+05     |
| time/                   |               |
|    fps                  | 985           |
|    time_elapsed         | 243           |
|    total_timesteps      | 240000        |
| train/                  |               |
|    approx_kl            | 0.00074289547 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.49         |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 1.85e+09      |
|    n_updates            | 290           |
|    policy_gradient_loss | -0.000735     |
|    std                  | 0.996         |
|    value_loss           | 3.66e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 73.8         |
|    ep_rew_mean          | -2.68e+05    |
| time/                   |              |
|    fps                  | 989          |
|    time_elapsed         | 252          |
|    total_timesteps      | 250000       |
| train/                  |              |
|    approx_kl            | 0.0008935266 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.49        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 2.17e+09     |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.000896    |
|    std                  | 0.995        |
|    value_loss           | 3.59e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 70.1          |
|    ep_rew_mean          | -2.67e+05     |
| time/                   |               |
|    fps                  | 993           |
|    time_elapsed         | 261           |
|    total_timesteps      | 260000        |
| train/                  |               |
|    approx_kl            | 0.00042783128 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.48         |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.95e+09      |
|    n_updates            | 310           |
|    policy_gradient_loss | -0.000497     |
|    std                  | 0.995         |
|    value_loss           | 3.49e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 65.3         |
|    ep_rew_mean          | -2.42e+05    |
| time/                   |              |
|    fps                  | 996          |
|    time_elapsed         | 270          |
|    total_timesteps      | 270000       |
| train/                  |              |
|    approx_kl            | 0.0005152641 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.48        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.73e+09     |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.000658    |
|    std                  | 0.995        |
|    value_loss           | 3.81e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.6          |
|    ep_rew_mean          | -2.58e+05     |
| time/                   |               |
|    fps                  | 982           |
|    time_elapsed         | 284           |
|    total_timesteps      | 280000        |
| train/                  |               |
|    approx_kl            | 0.00046028988 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.48         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.98e+09      |
|    n_updates            | 340           |
|    policy_gradient_loss | -0.000555     |
|    std                  | 0.995         |
|    value_loss           | 3.8e+09       |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 76.6         |
|    ep_rew_mean          | -2.64e+05    |
| time/                   |              |
|    fps                  | 985          |
|    time_elapsed         | 294          |
|    total_timesteps      | 290000       |
| train/                  |              |
|    approx_kl            | 0.0007809822 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.48        |
|    explained_variance   | 5.96e-08     |
|    learning_rate        | 0.0003       |
|    loss                 | 2e+09        |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.000758    |
|    std                  | 0.994        |
|    value_loss           | 3.45e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 74.5          |
|    ep_rew_mean          | -2.64e+05     |
| time/                   |               |
|    fps                  | 989           |
|    time_elapsed         | 303           |
|    total_timesteps      | 300000        |
| train/                  |               |
|    approx_kl            | 0.00044837303 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.48         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.83e+09      |
|    n_updates            | 360           |
|    policy_gradient_loss | -0.000528     |
|    std                  | 0.995         |
|    value_loss           | 3.31e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 76            |
|    ep_rew_mean          | -2.69e+05     |
| time/                   |               |
|    fps                  | 992           |
|    time_elapsed         | 312           |
|    total_timesteps      | 310000        |
| train/                  |               |
|    approx_kl            | 0.00077249936 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.48         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.66e+09      |
|    n_updates            | 370           |
|    policy_gradient_loss | -0.000786     |
|    std                  | 0.995         |
|    value_loss           | 3.55e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 64.2         |
|    ep_rew_mean          | -2.33e+05    |
| time/                   |              |
|    fps                  | 980          |
|    time_elapsed         | 326          |
|    total_timesteps      | 320000       |
| train/                  |              |
|    approx_kl            | 0.0004139804 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.48        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.38e+09     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00052     |
|    std                  | 0.995        |
|    value_loss           | 3.56e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 75.1          |
|    ep_rew_mean          | -2.59e+05     |
| time/                   |               |
|    fps                  | 983           |
|    time_elapsed         | 335           |
|    total_timesteps      | 330000        |
| train/                  |               |
|    approx_kl            | 0.00041274264 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.48         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.77e+09      |
|    n_updates            | 400           |
|    policy_gradient_loss | -0.0005       |
|    std                  | 0.995         |
|    value_loss           | 3.5e+09       |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 73.1        |
|    ep_rew_mean          | -2.37e+05   |
| time/                   |             |
|    fps                  | 985         |
|    time_elapsed         | 344         |
|    total_timesteps      | 340000      |
| train/                  |             |
|    approx_kl            | 0.000979833 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.48       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 1.7e+09     |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.000865   |
|    std                  | 0.995       |
|    value_loss           | 3.25e+09    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 70.1       |
|    ep_rew_mean          | -2.43e+05  |
| time/                   |            |
|    fps                  | 988        |
|    time_elapsed         | 354        |
|    total_timesteps      | 350000     |
| train/                  |            |
|    approx_kl            | 0.00084935 |
|    clip_fraction        | 0          |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.48      |
|    explained_variance   | 0          |
|    learning_rate        | 0.0003     |
|    loss                 | 1.69e+09   |
|    n_updates            | 420        |
|    policy_gradient_loss | -0.000878  |
|    std                  | 0.995      |
|    value_loss           | 3.28e+09   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 58.4         |
|    ep_rew_mean          | -2.11e+05    |
| time/                   |              |
|    fps                  | 990          |
|    time_elapsed         | 363          |
|    total_timesteps      | 360000       |
| train/                  |              |
|    approx_kl            | 0.0011746571 |
|    clip_fraction        | 4.88e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.48        |
|    explained_variance   | 5.96e-08     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.82e+09     |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.0011      |
|    std                  | 0.994        |
|    value_loss           | 3.36e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 69.8          |
|    ep_rew_mean          | -2.3e+05      |
| time/                   |               |
|    fps                  | 980           |
|    time_elapsed         | 377           |
|    total_timesteps      | 370000        |
| train/                  |               |
|    approx_kl            | 0.00080120674 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.48         |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 1.66e+09      |
|    n_updates            | 450           |
|    policy_gradient_loss | -0.000686     |
|    std                  | 0.995         |
|    value_loss           | 3.06e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.5          |
|    ep_rew_mean          | -2.43e+05     |
| time/                   |               |
|    fps                  | 983           |
|    time_elapsed         | 386           |
|    total_timesteps      | 380000        |
| train/                  |               |
|    approx_kl            | 0.00019372226 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.48         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.65e+09      |
|    n_updates            | 460           |
|    policy_gradient_loss | -0.000396     |
|    std                  | 0.995         |
|    value_loss           | 3.42e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 69.3         |
|    ep_rew_mean          | -2.45e+05    |
| time/                   |              |
|    fps                  | 985          |
|    time_elapsed         | 395          |
|    total_timesteps      | 390000       |
| train/                  |              |
|    approx_kl            | 0.0007679105 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.48        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.42e+09     |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.000757    |
|    std                  | 0.995        |
|    value_loss           | 3.19e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67            |
|    ep_rew_mean          | -2.35e+05     |
| time/                   |               |
|    fps                  | 987           |
|    time_elapsed         | 404           |
|    total_timesteps      | 400000        |
| train/                  |               |
|    approx_kl            | 0.00086986064 |
|    clip_fraction        | 1.22e-05      |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.48         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.65e+09      |
|    n_updates            | 480           |
|    policy_gradient_loss | -0.000891     |
|    std                  | 0.995         |
|    value_loss           | 3.41e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 68.8         |
|    ep_rew_mean          | -2.25e+05    |
| time/                   |              |
|    fps                  | 978          |
|    time_elapsed         | 418          |
|    total_timesteps      | 410000       |
| train/                  |              |
|    approx_kl            | 0.0020086463 |
|    clip_fraction        | 0.00022      |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.48        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.54e+09     |
|    n_updates            | 500          |
|    policy_gradient_loss | -0.00152     |
|    std                  | 0.994        |
|    value_loss           | 2.99e+09     |
------------------------------------------
------------------------------------------
