Logging to training_default_logs/4_robots/logs/PPO_set3
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.1         |
|    ep_rew_mean          | -2.92e+05    |
| time/                   |              |
|    fps                  | 82           |
|    time_elapsed         | 121          |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0024423348 |
|    clip_fraction        | 0.000757     |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.47e+10     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00467     |
|    std                  | 1            |
|    value_loss           | 2.63e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.2         |
|    ep_rew_mean          | -2.59e+05    |
| time/                   |              |
|    fps                  | 130          |
|    time_elapsed         | 153          |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0017036536 |
|    clip_fraction        | 6.1e-05      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.17e+10     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00324     |
|    std                  | 1            |
|    value_loss           | 2.56e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.8         |
|    ep_rew_mean          | -2.71e+05    |
| time/                   |              |
|    fps                  | 181          |
|    time_elapsed         | 165          |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0017056384 |
|    clip_fraction        | 6.1e-05      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.15e+10     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00317     |
|    std                  | 1            |
|    value_loss           | 2.42e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.7         |
|    ep_rew_mean          | -2.57e+05    |
| time/                   |              |
|    fps                  | 225          |
|    time_elapsed         | 177          |
|    total_timesteps      | 40000        |
