Logging to training_default_logs/5_robots/logs/PPO_set4
Using cpu device
Training started on Tue Jan 27 16:21:14 2026
Experiment configuration: {'algorithm': 'PPO', 'set': 4, 'verbose': 1, 'steps': 1000000, 'num_robots': 5, 'num_envs': 4, 'seed': 33, 'log_steps': 10000, 'resume': False, 'device': 'cpu'}
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 28.1          |
|    ep_rew_mean          | -5.16e+05     |
| time/                   |               |
|    fps                  | 817           |
|    time_elapsed         | 12            |
|    total_timesteps      | 10000         |
| train/                  |               |
|    approx_kl            | 0.00078035076 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -21.3         |
|    explained_variance   | 1.79e-06      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.06e+10      |
|    n_updates            | 10            |
|    policy_gradient_loss | -0.00212      |
|    std                  | 1             |
|    value_loss           | 3.97e+10      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.5         |
|    ep_rew_mean          | -4.02e+05    |
| time/                   |              |
|    fps                  | 818          |
|    time_elapsed         | 24           |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0008465966 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.3        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.7e+10      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00231     |
|    std                  | 1            |
|    value_loss           | 3.89e+10     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 26.6          |
|    ep_rew_mean          | -4.72e+05     |
| time/                   |               |
|    fps                  | 816           |
|    time_elapsed         | 36            |
|    total_timesteps      | 30000         |
| train/                  |               |
|    approx_kl            | 0.00075971184 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -21.3         |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 1.65e+10      |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.00189      |
|    std                  | 1             |
|    value_loss           | 3.51e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 24            |
|    ep_rew_mean          | -4.42e+05     |
| time/                   |               |
|    fps                  | 817           |
|    time_elapsed         | 48            |
|    total_timesteps      | 40000         |
| train/                  |               |
|    approx_kl            | 0.00082281977 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -21.3         |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.72e+10      |
|    n_updates            | 40            |
|    policy_gradient_loss | -0.00223      |
|    std                  | 1             |
|    value_loss           | 3.81e+10      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.9         |
|    ep_rew_mean          | -4.25e+05    |
| time/                   |              |
|    fps                  | 755          |
|    time_elapsed         | 66           |
|    total_timesteps      | 50000        |
| train/                  |              |
|    approx_kl            | 0.0006220141 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.3        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.87e+10     |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00159     |
|    std                  | 1            |
|    value_loss           | 3.31e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20.1         |
|    ep_rew_mean          | -3.69e+05    |
| time/                   |              |
|    fps                  | 763          |
|    time_elapsed         | 78           |
|    total_timesteps      | 60000        |
| train/                  |              |
|    approx_kl            | 0.0010986696 |
|    clip_fraction        | 1.22e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.3        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.62e+10     |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00267     |
|    std                  | 1            |
|    value_loss           | 3.19e+10     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 21.2          |
|    ep_rew_mean          | -3.84e+05     |
| time/                   |               |
|    fps                  | 769           |
|    time_elapsed         | 90            |
|    total_timesteps      | 70000         |
| train/                  |               |
|    approx_kl            | 0.00096935447 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -21.3         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.52e+10      |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.00232      |
|    std                  | 1             |
|    value_loss           | 3.04e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 20.1          |
|    ep_rew_mean          | -3.7e+05      |
| time/                   |               |
|    fps                  | 774           |
|    time_elapsed         | 103           |
|    total_timesteps      | 80000         |
| train/                  |               |
|    approx_kl            | 0.00033722504 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -21.3         |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 1.5e+10       |
|    n_updates            | 90            |
|    policy_gradient_loss | -0.000933     |
|    std                  | 1             |
|    value_loss           | 3.2e+10       |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.8         |
