Logging to training_default_logs/3_robots/logs/PPO_set2
Using cpu device
Training started on Tue Jan 27 16:19:22 2026
Experiment configuration: {'algorithm': 'PPO', 'set': 2, 'verbose': 1, 'steps': 1000000, 'num_robots': 3, 'num_envs': 4, 'seed': 33, 'log_steps': 10000, 'resume': False, 'device': 'cpu'}
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 92.4         |
|    ep_rew_mean          | -3.71e+05    |
| time/                   |              |
|    fps                  | 1697         |
|    time_elapsed         | 5            |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0008297167 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | -2.03e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 2.07e+09     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00174     |
|    std                  | 1            |
|    value_loss           | 4.13e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 87           |
|    ep_rew_mean          | -3.48e+05    |
| time/                   |              |
|    fps                  | 1715         |
|    time_elapsed         | 11           |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0004313844 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.88e+09     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0012      |
|    std                  | 1            |
|    value_loss           | 4.12e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 83.4          |
|    ep_rew_mean          | -3.33e+05     |
| time/                   |               |
|    fps                  | 1721          |
|    time_elapsed         | 17            |
|    total_timesteps      | 30000         |
| train/                  |               |
|    approx_kl            | 0.00045213383 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.34e+09      |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.00123      |
|    std                  | 1             |
|    value_loss           | 4.14e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 69.8         |
|    ep_rew_mean          | -2.81e+05    |
| time/                   |              |
|    fps                  | 1724         |
|    time_elapsed         | 23           |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0007096627 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.14e+09     |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00143     |
|    std                  | 0.999        |
|    value_loss           | 3.79e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 76.1          |
|    ep_rew_mean          | -2.95e+05     |
| time/                   |               |
|    fps                  | 1579          |
|    time_elapsed         | 31            |
|    total_timesteps      | 50000         |
| train/                  |               |
|    approx_kl            | 0.00033234083 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.08e+09      |
|    n_updates            | 60            |
|    policy_gradient_loss | -0.000834     |
|    std                  | 0.999         |
|    value_loss           | 3.85e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 66.6          |
|    ep_rew_mean          | -2.66e+05     |
| time/                   |               |
|    fps                  | 1603          |
|    time_elapsed         | 37            |
|    total_timesteps      | 60000         |
| train/                  |               |
|    approx_kl            | 0.00071217795 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.86e+09      |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.00139      |
|    std                  | 1             |
|    value_loss           | 3.77e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 75            |
|    ep_rew_mean          | -2.91e+05     |
| time/                   |               |
|    fps                  | 1620          |
|    time_elapsed         | 43            |
|    total_timesteps      | 70000         |
| train/                  |               |
|    approx_kl            | 0.00090968097 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.82e+09      |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.00167      |
|    std                  | 0.999         |
|    value_loss           | 3.8e+09       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.9          |
|    ep_rew_mean          | -2.72e+05     |
| time/                   |               |
|    fps                  | 1634          |
|    time_elapsed         | 48            |
|    total_timesteps      | 80000         |
| train/                  |               |
|    approx_kl            | 0.00026723417 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 2.18e+09      |
|    n_updates            | 90            |
|    policy_gradient_loss | -0.000943     |
|    std                  | 1             |
|    value_loss           | 3.93e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 86.2          |
|    ep_rew_mean          | -3.1e+05      |
| time/                   |               |
|    fps                  | 1644          |
|    time_elapsed         | 54            |
|    total_timesteps      | 90000         |
| train/                  |               |
|    approx_kl            | 0.00043398765 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.08e+09      |
|    n_updates            | 100           |
|    policy_gradient_loss | -0.00112      |
|    std                  | 0.999         |
|    value_loss           | 3.94e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 86.1         |
|    ep_rew_mean          | -3.17e+05    |
| time/                   |              |
|    fps                  | 1582         |
|    time_elapsed         | 63           |
|    total_timesteps      | 100000       |
| train/                  |              |
|    approx_kl            | 0.0007971645 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 2.03e+09     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00158     |
|    std                  | 0.999        |
|    value_loss           | 3.49e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 72.2          |
|    ep_rew_mean          | -2.87e+05     |
| time/                   |               |
|    fps                  | 1595          |
|    time_elapsed         | 68            |
|    total_timesteps      | 110000        |
| train/                  |               |
|    approx_kl            | 0.00040201226 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.29e+09      |
|    n_updates            | 130           |
|    policy_gradient_loss | -0.00103      |
|    std                  | 0.999         |
|    value_loss           | 3.94e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 77.1          |
|    ep_rew_mean          | -2.96e+05     |
| time/                   |               |
|    fps                  | 1606          |
|    time_elapsed         | 74            |
|    total_timesteps      | 120000        |
| train/                  |               |
|    approx_kl            | 0.00025740295 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.88e+09      |
|    n_updates            | 140           |
|    policy_gradient_loss | -0.000738     |
|    std                  | 0.999         |
|    value_loss           | 3.86e+09      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 73.3          |
|    ep_rew_mean          | -2.78e+05     |
| time/                   |               |
|    fps                  | 1615          |
|    time_elapsed         | 80            |
|    total_timesteps      | 130000        |
| train/                  |               |
|    approx_kl            | 0.00044090595 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -12.8         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.75e+09      |
|    n_updates            | 150           |
|    policy_gradient_loss | -0.00101      |
|    std                  | 0.999         |
|    value_loss           | 3.74e+09      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.2         |
|    ep_rew_mean          | -2.45e+05    |
| time/                   |              |
|    fps                  | 1573         |
|    time_elapsed         | 88           |
|    total_timesteps      | 140000       |
| train/                  |              |
|    approx_kl            | 0.0007027319 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.83e+09     |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00125     |
|    std                  | 0.998        |
|    value_loss           | 3.65e+09     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 72.8       |
|    ep_rew_mean          | -2.57e+05  |
| time/                   |            |
