Logging to training_random_logs/3_robots/logs/PPO_set3
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 11.3         |
|    ep_rew_mean          | -1.21e+05    |
| time/                   |              |
|    fps                  | 1005         |
|    time_elapsed         | 9            |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0067395223 |
|    clip_fraction        | 0.0532       |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 3.63e+09     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00593     |
|    std                  | 1.01         |
|    value_loss           | 7.08e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.1         |
|    ep_rew_mean          | -1.27e+05    |
| time/                   |              |
|    fps                  | 1013         |
|    time_elapsed         | 19           |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0063725347 |
|    clip_fraction        | 0.0415       |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.9        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 3.45e+09     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00478     |
|    std                  | 1.01         |
|    value_loss           | 6.87e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.6        |
|    ep_rew_mean          | -1.21e+05   |
| time/                   |             |
|    fps                  | 1015        |
|    time_elapsed         | 29          |
|    total_timesteps      | 30000       |
| train/                  |             |
|    approx_kl            | 0.004100117 |
|    clip_fraction        | 0.0145      |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.9       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 3.4e+09     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00232    |
|    std                  | 1.02        |
|    value_loss           | 6.46e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.8         |
|    ep_rew_mean          | -1.21e+05    |
| time/                   |              |
|    fps                  | 1009         |
|    time_elapsed         | 39           |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0057418253 |
|    clip_fraction        | 0.037        |
|    clip_range           | 0.2          |
|    entropy_loss         | -13          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 3.2e+09      |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00414     |
|    std                  | 1.03         |
|    value_loss           | 6.38e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13          |
|    ep_rew_mean          | -1.24e+05   |
| time/                   |             |
|    fps                  | 910         |
|    time_elapsed         | 54          |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.005235556 |
|    clip_fraction        | 0.0279      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.1       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0017      |
|    loss                 | 3.1e+09     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00404    |
|    std                  | 1.04        |
|    value_loss           | 6.32e+09    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.6        |
|    ep_rew_mean          | -1.31e+05   |
| time/                   |             |
|    fps                  | 922         |
|    time_elapsed         | 65          |
|    total_timesteps      | 60000       |
| train/                  |             |
|    approx_kl            | 0.005294402 |
|    clip_fraction        | 0.0266      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.2       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 2.94e+09    |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00343    |
|    std                  | 1.05        |
|    value_loss           | 6.44e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.3         |
|    ep_rew_mean          | -1.17e+05    |
| time/                   |              |
|    fps                  | 929          |
|    time_elapsed         | 75           |
|    total_timesteps      | 70000        |
| train/                  |              |
|    approx_kl            | 0.0056080073 |
|    clip_fraction        | 0.0341       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.2        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 3.23e+09     |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00432     |
|    std                  | 1.05         |
|    value_loss           | 6.27e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.2         |
|    ep_rew_mean          | -1.09e+05    |
| time/                   |              |
|    fps                  | 935          |
|    time_elapsed         | 85           |
|    total_timesteps      | 80000        |
| train/                  |              |
|    approx_kl            | 0.0051029767 |
|    clip_fraction        | 0.0243       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.3        |
|    explained_variance   | 5.96e-08     |
|    learning_rate        | 0.0017       |
|    loss                 | 3.1e+09      |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00315     |
|    std                  | 1.06         |
|    value_loss           | 6.52e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.2        |
|    ep_rew_mean          | -1.16e+05   |
| time/                   |             |
|    fps                  | 939         |
|    time_elapsed         | 95          |
|    total_timesteps      | 90000       |
| train/                  |             |
|    approx_kl            | 0.005783447 |
|    clip_fraction        | 0.0305      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.3       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 3.23e+09    |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00354    |
|    std                  | 1.07        |
|    value_loss           | 6.07e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.9         |
|    ep_rew_mean          | -1.13e+05    |
| time/                   |              |
|    fps                  | 893          |
|    time_elapsed         | 111          |
|    total_timesteps      | 100000       |
| train/                  |              |
|    approx_kl            | 0.0053206785 |
|    clip_fraction        | 0.0266       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.5        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 3.75e+09     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00295     |
|    std                  | 1.08         |
|    value_loss           | 6.26e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.7         |
|    ep_rew_mean          | -1.04e+05    |
| time/                   |              |
|    fps                  | 887          |
|    time_elapsed         | 124          |
|    total_timesteps      | 110000       |
| train/                  |              |
|    approx_kl            | 0.0056481035 |
|    clip_fraction        | 0.0373       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.5        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 2.98e+09     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00424     |
|    std                  | 1.09         |
|    value_loss           | 6.06e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.8        |
|    ep_rew_mean          | -1.07e+05   |
| time/                   |             |
|    fps                  | 889         |
|    time_elapsed         | 134         |
|    total_timesteps      | 120000      |
| train/                  |             |
|    approx_kl            | 0.004850356 |
|    clip_fraction        | 0.0265      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.6       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 2.98e+09    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00334    |
|    std                  | 1.1         |
|    value_loss           | 5.78e+09    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.9        |
|    ep_rew_mean          | -1.07e+05   |
| time/                   |             |
|    fps                  | 891         |
|    time_elapsed         | 145         |
|    total_timesteps      | 130000      |
| train/                  |             |
|    approx_kl            | 0.004317185 |
|    clip_fraction        | 0.0177      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.6       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 3e+09       |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0026     |
|    std                  | 1.11        |
|    value_loss           | 6.03e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.7         |
|    ep_rew_mean          | -9.73e+04    |
| time/                   |              |
|    fps                  | 865          |
|    time_elapsed         | 161          |
