Logging to training_random_logs/2_robots/logs/PPO_set7
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 80           |
|    ep_rew_mean          | -3.25e+05    |
| time/                   |              |
|    fps                  | 530          |
|    time_elapsed         | 18           |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0055712834 |
|    clip_fraction        | 0.0392       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.55        |
|    explained_variance   | -1.19e-06    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.34e+09     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00516     |
|    std                  | 1.01         |
|    value_loss           | 3.06e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 70.7         |
|    ep_rew_mean          | -2.9e+05     |
| time/                   |              |
|    fps                  | 599          |
|    time_elapsed         | 33           |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0048783626 |
|    clip_fraction        | 0.0289       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.61        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.13e+09     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00341     |
|    std                  | 1.02         |
|    value_loss           | 2.96e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 79          |
|    ep_rew_mean          | -2.94e+05   |
| time/                   |             |
|    fps                  | 625         |
|    time_elapsed         | 47          |
|    total_timesteps      | 30000       |
| train/                  |             |
|    approx_kl            | 0.003019428 |
|    clip_fraction        | 0.00878     |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.65       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 1.36e+09    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00168    |
|    std                  | 1.03        |
|    value_loss           | 2.78e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 76.2         |
|    ep_rew_mean          | -2.79e+05    |
| time/                   |              |
|    fps                  | 602          |
|    time_elapsed         | 66           |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0043706726 |
|    clip_fraction        | 0.024        |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.7         |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.3e+09      |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00261     |
|    std                  | 1.03         |
|    value_loss           | 2.56e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.3        |
|    ep_rew_mean          | -2.54e+05   |
| time/                   |             |
|    fps                  | 527         |
|    time_elapsed         | 94          |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.003186314 |
|    clip_fraction        | 0.0124      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.8        |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 1.43e+09    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00197    |
|    std                  | 1.05        |
|    value_loss           | 2.61e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 74.8         |
|    ep_rew_mean          | -2.7e+05     |
| time/                   |              |
|    fps                  | 527          |
|    time_elapsed         | 113          |
|    total_timesteps      | 60000        |
| train/                  |              |
|    approx_kl            | 0.0040635075 |
|    clip_fraction        | 0.0179       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.86        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.15e+09     |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00248     |
|    std                  | 1.06         |
|    value_loss           | 2.5e+09      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.9        |
|    ep_rew_mean          | -2.56e+05   |
| time/                   |             |
|    fps                  | 530         |
|    time_elapsed         | 132         |
|    total_timesteps      | 70000       |
| train/                  |             |
|    approx_kl            | 0.004425982 |
|    clip_fraction        | 0.0288      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.91       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 1.17e+09    |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00339    |
|    std                  | 1.07        |
|    value_loss           | 2.65e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 65.7         |
|    ep_rew_mean          | -2.36e+05    |
| time/                   |              |
|    fps                  | 531          |
|    time_elapsed         | 150          |
|    total_timesteps      | 80000        |
| train/                  |              |
|    approx_kl            | 0.0049351994 |
|    clip_fraction        | 0.0336       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.96        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.11e+09     |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.0041      |
|    std                  | 1.08         |
|    value_loss           | 2.49e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 58.8         |
|    ep_rew_mean          | -2.23e+05    |
| time/                   |              |
|    fps                  | 533          |
|    time_elapsed         | 168          |
|    total_timesteps      | 90000        |
| train/                  |              |
|    approx_kl            | 0.0031226708 |
|    clip_fraction        | 0.0102       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.03        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.38e+09     |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00136     |
|    std                  | 1.1          |
|    value_loss           | 2.41e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 72           |
|    ep_rew_mean          | -2.5e+05     |
| time/                   |              |
|    fps                  | 507          |
|    time_elapsed         | 197          |
|    total_timesteps      | 100000       |
| train/                  |              |
