Logging to training_default_logs/2_robots/logs/PPO_set5
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 175          |
|    ep_rew_mean          | -4.67e+05    |
| time/                   |              |
|    fps                  | 1074         |
|    time_elapsed         | 9            |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0012519769 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.51        |
|    explained_variance   | 5.36e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.16e+09     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00168     |
|    std                  | 1            |
|    value_loss           | 2.31e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 186          |
|    ep_rew_mean          | -4.87e+05    |
| time/                   |              |
|    fps                  | 1090         |
|    time_elapsed         | 18           |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0005721255 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.51        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 1.3e+09      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00108     |
|    std                  | 1            |
|    value_loss           | 2.46e+09     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 185           |
|    ep_rew_mean          | -4.78e+05     |
| time/                   |               |
|    fps                  | 1096          |
|    time_elapsed         | 27            |
|    total_timesteps      | 30000         |
| train/                  |               |
|    approx_kl            | 0.00087639573 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.51         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 9.66e+08      |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.00128      |
|    std                  | 1             |
|    value_loss           | 2e+09         |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 183         |
|    ep_rew_mean          | -4.78e+05   |
| time/                   |             |
|    fps                  | 1100        |
|    time_elapsed         | 36          |
|    total_timesteps      | 40000       |
| train/                  |             |
|    approx_kl            | 0.000845862 |
|    clip_fraction        | 2.44e-05    |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.51       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 1.17e+09    |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00148    |
|    std                  | 1           |
|    value_loss           | 2.43e+09    |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 175           |
|    ep_rew_mean          | -4.49e+05     |
| time/                   |               |
|    fps                  | 997           |
|    time_elapsed         | 50            |
|    total_timesteps      | 50000         |
| train/                  |               |
|    approx_kl            | 0.00062302884 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -8.51         |
